isbn,title,author,category,sub_category,description,publisher,year_of_publication,language,num_pages,img_link
B08RB2HRS1,Create GUI Applications with Python & Qt5 (PyQt5 Edition): The hands-on guide to making apps with Python,Dr Martin Fitzpatrick,Programming Languages,Computers & Technology,"Building desktop applications doesn't have to be difficult. Using Python & Qt5 you can create fully functional desktop apps in minutes. Starting from the very basics, this modern PyQt5 book takes you on a tour of the key features of PyQt5 you can use to build real-life applications.This is the 4th Edition of Create GUI Applications, updated for 2020 & PyQt5. Learn the fundamental building blocks of PyQt applications — Widgets, Layouts & Signals and learn how PyQt5 uses the event loop to handle and respond to user input. Design beautiful UIs with Qt Designer and customize the look and feel of your applications with Qt Style Sheets and custom widgets.Use Qt's MVC-like ModelViews framework to connect data sources to your widgets, including SQL databases, numpy and pandas data tables, to build-data driven application. Visualize data using matplotlib & PyQtGraph and connect with external data sources to build live dashboards. Learn how to use threads and processes to manage long-running tasks and communicate with external services. Parse data and visualize the output in logs and progress bars.The book includes usability and architectural tips to help you build maintainable and usable PyQt5 applications from the start. Finally, once your application is ready to be released, discover how to package it up into professional-quality installers, ready to ship.ContentsPyQt5 WidgetsSignals, slots & eventsGUI LayoutsToolbars & MenusPyQt5 DialogsWindowsQt DesignerPyQt5 Themes, Styles, Palettes & IconsModel View ArchitecturePyQt5 Table views with numpy & pandasDatabase, SQL modelsExtending PyQt5 SignalsSystem tray & MenusPyQt5 threading, thread pools & processesPlotting with PyQtGraph & matplotlibPackaging & distribution PyQt5 appsExample PyQt5 appsThe book includes665 pages of hands-on PyQt5 exercises211 code examples to experiment withSupport forum for all readersIncludes 4 example PyQt5 appsCompatible with Python 3.4+Code free to reuse in your own projectsMartin Fitzpatrick has been teaching and using PyQt for 8 years, helping thousands of developers bring their applications to life.Read more",Independently published ,2020,English,718,"https://images-na.ssl-images-amazon.com/images/I/41Njcwc0SyL._SY344_BO1,204,203,200_.jpg"
044651862X,The Celestine Prophecy: An Adventure,James Redfield,Genre Fiction,Literature & Fiction,"You have never read a book like this before -- a book that comes along once in a lifetime to change lives forever.In the rain forests of Peru, an ancient manuscript has been discovered. Within its pages are 9 key insights into life itself -- insights each human being is predicted to grasp sequentially; one insight, then another, as we move toward a completely spiritual culture on Earth. Drawing on ancient wisdom, it tells you how to make connections among the events happening in your life right now and lets you see what is going to happen to you in the years to come. The story it tells is a gripping one of adventure and discovery, but it is also a guidebook that has the power to crystallize your perceptions of why you are where you are in life and to direct your steps with a new energy and optimisim as you head into tomorrow.Read more",Warner Books 1st edition ,1993,English,246,"https://images-na.ssl-images-amazon.com/images/I/41JDkI7Cn7L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
1593279280,"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming",Eric Matthes,Programming,Computers & Technology,"The second edition of the best-selling Python book in the world (over 1 million copies sold!). A fast-paced, no-nonsense guide to programming in Python. Updated and thoroughly revised to reflect the latest in Python code and practices.Python Crash Courseis the world's best-selling guide to the Python programming language. This fast-paced, thorough introduction to programming with Python will have you writing programs, solving problems, and making things that work in no time.In the first half of the book, you'll learn basic programming concepts, such as variables, lists, classes, and loops, and practice writing clean code with exercises for each topic. You'll also learn how to make your programs interactive and test your code safely before adding it to a project. In the second half, you'll put your new knowledge into practice with three substantial projects: a Space Invaders-inspired arcade game, a set of data visualizations with Python's handy libraries, and a simple web app you can deploy online.As you work through the book, you'll learn how to:•Use powerful Python libraries and tools, including Pygame, Matplotlib, Plotly, and Django•Make 2D games that respond to keypresses and mouse clicks, and that increase in difficulty•Use data to generate interactive visualizations•Create and customize web apps and deploy them safely online•Deal with mistakes and errors so you can solve your own programming problemsIf you've been thinking about digging into programming,Python Crash Coursewill get you writing real programs fast. Why wait any longer? Start your engines and code!Read more",No Starch Press 2nd edition ,2019,English,544,"https://images-na.ssl-images-amazon.com/images/I/51j89lmxnpL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
0062315005,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,Fantasy,Science Fiction & Fantasy,"Note: Item has rough Cut edges(Edges are cut improperly intentionally by the manufacturer)A special 25th anniversary edition of the extraordinary international bestseller, including a new Foreword by Paulo Coelho.Combining magic, mysticism, wisdom and wonder into an inspiring tale of self-discovery,The Alchemisthas become a modern classic, selling millions of copies around the world and transforming the lives of countless readers across generations.Paulo Coelho's masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure. His quest will lead him to riches far different—and far more satisfying—than he ever imagined. Santiago's journey teaches us about the essential wisdom of listening to our hearts, of recognizing opportunity and learning to read the omens strewn along life's path, and, most importantly, to follow our dreams.Read more",HarperOne 25th ed. edition ,2014,English,208,"https://images-na.ssl-images-amazon.com/images/I/51kcX5PpaZL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
034543479X,A Widow for One Year,John Irving,Genre Fiction,Literature & Fiction,"Ruth Cole is a complex, often self-contradictory character--a ""difficult"" woman.  By no means is she conventionally ""nice,"" but she will never be forgotten.Ruth's story is told in three parts, each focusing on a crucial time in her life.  When we first meet her--on Long Island, in the summer of 1958--Ruth is only four.The second window into Ruth's life opens in the fall of 1990, when Ruth is an unmarried woman whose personal life is not nearly as successful as her literary career.  She distrusts her judgment in men, for good reason.A Widow for One Yearcloses in the autumn of 1995, when Ruth Cole is a forty-one-year-old widow and mother.  She's about to fall in love for the first time.Richly comic, as well as deeply disturbingA Widow for One Yearis a multilayered love story of astonishing emotional force.  Both ribald and erotic, it is also a brilliant novel about the passage of time and the relentlessness of grief.Read more",Fawcett Media tie-in edition ,2001,English,608,"https://images-na.ssl-images-amazon.com/images/I/51MY2gPQtBL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0446310786,To Kill a Mockingbird,Harper Lee,United States,Literature & Fiction,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it,To Kill A Mockingbirdbecame both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving,To Kill A Mockingbirdtakes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.Read more",Grand Central Publishing ,1988,English,384,"https://images-na.ssl-images-amazon.com/images/I/51N5qVjuKAL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0060930187,The Bell Jar: A Novel (Perennial Classics),Sylvia Plath,United States,Literature & Fiction,"A realistic and emotional novel about a woman battling mental illness and societal pressures written by the iconic American writer Sylvia Plath.“It is this perfectly wrought prose and the freshness of Plath’s voice inThe Bell Jarthat make this book enduring in its appeal.” —USA TodayThe Bell Jarchronicles the crack-up of Esther Greenwood: young, brilliant, beautiful, and enormously talented, but slowly going under—maybe for the last time. Sylvia Plath masterfully draws the reader into Esther’s breakdown with such intensity that Esther’s neurosis becomes completely understandable and even rational, as probable and accessible an experience as going to the movies. Such thorough exploration of the dark and harrowing corners of the psyche - and the profound collective loneliness that modern society has yet to find a solution for - is an extraordinary accomplishment, and has madeThe Bell Jara haunting American classic.This P.S. edition features extra insights into the book, including author interviews, recommended reading, and more.Read more",Harper Perennial Modern Classics Reprint edition ,2000,English,288,"https://images-na.ssl-images-amazon.com/images/I/418CDFx4dnL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0385486804,Into the Wild,Jon Krakauer,Americas,History,"Krakauer’s page-turning bestseller explores a famed missing person mystery while unraveling the larger riddles it holds: the profound pull of the American wilderness on our imagination; the allure of high-risk activities to young men of a certain cast of mind; the complex, charged bond between fathers and sons.""Terrifying... Eloquent... A heart-rending drama of human yearning."" —New York TimesIn April 1992 a young man from a well-to-do family hitchhiked to Alaska and walked alone into the wilderness north of Mt. McKinley. He had given $25,000 in savings to charity, abandoned his car and most of his possessions, burned all the cash in his wallet, and invented a new life for himself. Four months later, his decomposed body was found by a moose hunter. How Christopher Johnson McCandless came to die is the unforgettable story ofInto the Wild.Immediately after graduating from college in 1991, McCandless had roamed through the West and Southwest on a vision quest like those made by his heroes Jack London and John Muir. In the Mojave Desert he abandoned his car, stripped it of its license plates, and burned all of his cash. He would give himself a new name, Alexander Supertramp, and, unencumbered by money and belongings, he would be free to wallow in the raw, unfiltered experiences that nature presented. Craving a blank spot on the map, McCandless simply threw the maps away. Leaving behind his desperate parents and sister, he vanished into the wild.Jon Krakauer constructs a clarifying prism through which he reassembles the disquieting facts of McCandless's short life. Admitting an interst that borders on obsession, he searches for the clues to the drives and desires that propelled McCandless.When McCandless's innocent mistakes turn out to be irreversible and fatal, he becomes the stuff of tabloid headlines and is dismissed for his naiveté, pretensions, and hubris. He is said to have had a death wish but wanting to die is a very different thing from being compelled to look over the edge. Krakauer brings McCandless's uncompromising pilgrimage out of the shadows, and the peril, adversity, and renunciation sought by this enigmatic young man are illuminated with a rare understanding--and not an ounce of sentimentality. Mesmerizing, heartbreaking,Into the Wildis a tour de force. The power and luminosity of Jon Krakauer's stoytelling blaze through every page.Read more",Anchor Books 1st edition ,1997,English,240,"https://images-na.ssl-images-amazon.com/images/I/51rJVzn7lsL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
0316666343,The Lovely Bones,Alice Sebold,Genre Fiction,Literature & Fiction,"This book is in very good condition, very little cover wearRead more","Little, Brown and Company 1st edition ",2002,English,328,"https://images-na.ssl-images-amazon.com/images/I/41tJCcMb4kL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
067976402X,Snow Falling on Cedars,David Guterson,Movies,Humor & Entertainment,"NATIONAL BESTSELLER • PEN/Faulkner Award Winner •  A gripping, tragic, and densely atmospheric masterpiece of courtroom suspense—one that leaves us shaken and changed.""Haunting .... A whodunit complete with courtroom maneuvering and surprising turns of evidence and at the same time a mystery, something altogether richer and deeper."" —Los Angeles TimesSan Piedro Island, north of Puget Sound, is a place so isolated that no one who lives there can afford to make enemies.  But in 1954 a local fisherman is found suspiciously drowned, and a Japanese American named Kabuo Miyamoto is charged with his murder.In the course of the ensuing trial, it becomes clear that what is at stake is more than a man's guilt. For on San Pedro, memory grows as thickly as cedar trees and the fields of ripe strawberries—memories of a charmed love affair between a white boy and the Japanese girl who grew up to become Kabuo's wife; memories of land desired, paid for, and lost. Above all, San Piedro is haunted by the memory of what happened to its Japanese residents during World War II, when an entire community was sent into exile while its neighbors watched.Read more",Vintage 1st edition ,1995,English,460,"https://images-na.ssl-images-amazon.com/images/I/51BJFDqUw7L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
